id,serial,exam_type,exam_session,subject,subtopic,stem,case_text,choices_json,answer_text,explanation,explanation_version
78,A01-078,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","トレンデレンブルグ歩行はどの筋麻痺で起こるか。",,"[""脊柱起立筋"", ""大殿筋"", ""中・小殿筋"", ""大腿四頭筋""]","解答　３．","トレンデレンブルグ歩行は、股関節の外転筋である中殿筋・小殿筋の麻痺や機能不全により、立脚相で骨盤が健側に沈み込む異常歩行である。上殿神経の麻痺などで生じる。",1
83,A01-083,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","腰椎椎間板ヘルニアで誤っているのはどれか。",,"[""坐骨神経痛を伴うことが多い。"", ""ギックリ腰ではじまることが多い。"", ""椎間孔が拡大する。"", ""後側方に脱出することが多い。""]","解答　３．","腰椎椎間板ヘルニアでは、髄核が後側方に脱出して神経根を圧迫するため、坐骨神経痛を生じる。椎間板の変性や突出により、むしろ椎間孔は狭窄する傾向にある。",1
85,A01-085,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","スポーツ外傷に多い組合せで誤っているのはどれか。",,"[""肩関節脱臼 … ラグビー"", ""脛骨骨折 … スキー"", ""アキレス腱断裂 … ジャンプ"", ""脊椎分離症 … 卓球""]","解答　４．","脊椎分離症は、腰椎の過伸展や回旋を繰り返すスポーツ（野球、バレーボール、体操など）で多く発生する。卓球は比較的リスクが低く、不適切である。他の選択肢は各競技で典型的な外傷である。",1
86,A01-086,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","ラセーグ試験が陽性になる疾患はどれか。",,"[""胸椎後靱帯骨化症"", ""胸椎黄靱帯骨化症"", ""第５－６頚椎間椎間板ヘルニア"", ""第４－５腰椎間椎間板ヘルニア""]","解答　４．","ラセーグ試験（下肢伸展挙上試験：SLR）は、坐骨神経の牽引により腰仙部神経根の圧迫を調べる検査である。第4-5腰椎間などの下部腰椎椎間板ヘルニアで陽性となる。頚椎や胸椎の疾患では陽性にならない。",1
87,A01-087,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","いわゆる五十肩について誤っているのはどれか。",,"[""肩関節周囲炎が一因となる。"", ""帯を結ぶのが困難となる。"", ""痛みは寒冷時に増強する。"", ""予後不良である。""]","解答　４．","五十肩（肩関節周囲炎）は、肩関節の痛みと可動域制限（結帯・結髪動作の困難）を主徴とする。寒冷や夜間に痛みが増強しやすいが、多くは適切な治療や経過観察により自然治癒するため、予後は良好である。",1
96,A01-096,"あん摩マッサージ指圧師",1,"臨床医学各論","運動器疾患","慢性関節リウマチで誤っているのはどれか。",,"[""自己免疫性疾患である。"", ""血中コレステロール値が上昇する。"", ""レイノー現象がある。"", ""貧血がみられる。""]","解答　２．","関節リウマチは自己免疫疾患であり、慢性炎症に伴う貧血や、血管炎に伴うレイノー現象を認めることがある。血中コレステロール値の上昇は本症の直接的な特徴ではない。",1
237,A02-087,"あん摩マッサージ指圧師",2,"臨床医学各論","運動器疾患","疲労骨折の起きやすい部位はどれか。",,"[""大腿骨骨幹部"", ""鎖骨中央部"", ""脛骨下部"", ""橈骨骨幹部""]","解答　３．","疲労骨折は過度のスポーツなどで骨の同一部位に繰り返し力が加わることで発生する。好発部位は脛骨（特に下1/3）、中足骨（第2・3）、腓骨などである。",1
238,A02-088,"あん摩マッサージ指圧師",2,"臨床医学各論","運動器疾患","次の文で示す患者について最も考えられる疾患はどれか。
「68歳の男性。約100ｍ歩くと左の殿部から下腿部にかけて疼痛が生じる。しばらくしゃがんでいると症状は消失する。」",,"[""腰椎分離症"", ""脊柱管狭窄症"", ""脊椎骨粗しょう症"", ""変形性股関節症""]","解答　２．","歩行により下肢痛が出現し、前屈位での休息により改善する症状は「間欠性跛行」と呼ばれ、腰部脊柱管狭窄症の典型的な特徴である。高齢男性に多く、神経根や馬尾の圧迫により生じる。",1
243,A02-093,"あん摩マッサージ指圧師",2,"臨床医学各論","運動器疾患","総腓骨神経麻痺で正しい症状はどれか。",,"[""足関節の伸展ができない。"", ""知覚異常はない。"", ""足の指の背屈はできる。"", ""鈎足になる。""]","解答　１．","総腓骨神経は足関節の背屈（伸展）や足指の背屈を支配する筋を司るため、麻痺すると足関節の伸展ができなくなり「下垂足」を呈する。また、足背部の知覚異常も伴う。鈎足は脛骨神経麻痺でみられる。",1
386,A03-086,"あん摩マッサージ指圧師",3,"臨床医学各論","運動器疾患","いわゆる五十肩について誤っている記述はどれか。",,"[""肩の運動は制限される。"", ""関節腔は拡大している。"", ""上肢帯筋の萎縮が起こる。"", ""保存的治療が基本である。""]","解答　２．","五十肩（肩関節周囲炎）では、関節包の短縮や癒着が生じるため、関節腔はむしろ狭小化（容積減少）する。運動制限（拘縮）や廃用による筋萎縮が見られ、治療は安静や運動療法などの保存的治療が中心となる。",1
387,A03-087,"あん摩マッサージ指圧師",3,"臨床医学各論","運動器疾患","坐骨神経痛をきたしにくい疾患はどれか。",,"[""悪性腫瘍の骨転移"", ""腰椎椎間板ヘルニア"", ""帯状疱疹"", ""閉塞性動脈硬化症""]","解答　４．","坐骨神経痛は腰椎椎間板ヘルニアや脊柱管狭窄症、骨転移、帯状疱疹など神経への刺激・圧迫で生じる。閉塞性動脈硬化症（ASO）は血管の閉塞による血流障害であり、間欠性跛行を来すが、神経痛そのものを主症状とする疾患ではない。",1
388,A03-088,"あん摩マッサージ指圧師",3,"臨床医学各論","運動器疾患","変形性膝関節症の成因について誤っているのはどれか。",,"[""職業"", ""年齢"", ""脚気"", ""関節炎""]","解答　３．","変形性膝関節症は、加齢、肥満、職業（重労働）、外傷、関節炎などが原因で関節軟骨が摩耗する疾患である。脚気はビタミンB1欠乏症であり、末梢神経障害や心不全（脚気心）を来すが、膝関節の変形の直接的な原因にはならない。",1
392,A03-092,"あん摩マッサージ指圧師",3,"臨床医学各論","運動器疾患","症状と麻痺神経との組合せで正しいのはどれか。",,"[""鷲手 … 尺骨神経"", ""下垂手 … 正中神経"", ""尖足 … 大腿神経"", ""兎眼 … 三叉神経""]","解答　１．","尺骨神経麻痺では鷲手、橈骨神経麻痺では下垂手、正中神経麻痺では猿手が見られる。尖足は総腓骨神経麻痺、兎眼は顔面神経麻痺による症状である。",1
394,A03-094,"あん摩マッサージ指圧師",3,"臨床医学各論","運動器疾患","疾患と治療法との組合せで誤っているのはどれか。",,"[""癌性疼痛 … クモ膜下フェノールブロック"", ""坐骨神経痛 … 星状神経節ブロック"", ""五十肩 … 肩甲上神経ブロック"", ""三叉神経痛 … 上顎神経ブロック""]","解答　２．","星状神経節ブロックは頸部の交感神経節を遮断するもので、頭部、顔面、頸部、上肢の疾患（帯状疱疹、顔面神経麻痺など）に用いられる。坐骨神経痛は腰仙骨神経叢由来の痛みであり、星状神経節ブロックの適応ではない。",1
542,A04-092,"あん摩マッサージ指圧師",4,"臨床医学各論","運動器疾患","正しい組合せはどれか。",,"[""スワンネック変形 … 尺骨骨折"", ""アキレス腱断裂 … つま先立ち不能"", ""テニス肘 … 肘関節脱臼"", ""ジャンパー膝 … 膝関節の異常可動性""]","解答　２．","アキレス腱が断裂すると、下腿三頭筋の力が足に伝わらないため、つま先立ちが不能になる。スワンネック変形は関節リウマチ、テニス肘は上腕骨外側上顆炎、ジャンパー膝は膝蓋腱炎に関連する病態である。",1
543,A04-093,"あん摩マッサージ指圧師",4,"臨床医学各論","運動器疾患","先天性股関節脱臼の症状で、正しい記述はどれか。",,"[""大腿内側皮膚溝は、左右対称である。"", ""下肢の延長がみられる。"", ""開排制限がみられる。"", ""歩行開始後には、大転子低位がみられる。""]","解答　３．","先天性股関節脱臼（発育性股関節形成不全）では、股関節の開排制限、大腿内側皮膚溝の非対称、患肢の短縮、アリス徴候、トレンドレンブルグ歩行などがみられる。",1
544,A04-094,"あん摩マッサージ指圧師",4,"臨床医学各論","運動器疾患","障害と部位との組合せで、正しいのはどれか。",,"[""前十字靱帯損傷 … 肩関節"", ""環椎破裂骨折 … 腰椎"", ""脊椎分離症 … 胸椎"", ""コーレス骨折 … 橈骨下端""]","解答　４．","コーレス骨折は橈骨遠位端（下端）の骨折で、手のひらをついて倒れた際に起こりやすい。前十字靱帯は膝関節、環椎は第1頸椎、脊椎分離症は腰椎に多い。",1
546,A04-096,"あん摩マッサージ指圧師",4,"臨床医学各論","運動器疾患","意識がなくなる麻酔法はどれか。",,"[""吸入麻酔"", ""脊椎麻酔"", ""硬膜外麻酔"", ""鍼麻酔""]","解答　１．","全身麻酔（吸入麻酔や静脈麻酔）は中枢神経系に作用し、意識を消失させる。脊椎麻酔や硬膜外麻酔、鍼麻酔は局所・地域麻酔であり、意識は保たれる。",1
684,A05-084,"あん摩マッサージ指圧師",5,"臨床医学各論","運動器疾患","骨折部位で最も癒合しにくいのはどれか。",,"[""鎖骨中央部"", ""橈骨下端部"", ""大腿骨頚部"", ""踵骨体部""]","解答　３．","大腿骨頚部骨折（関節内骨折）は、骨膜がなく仮骨形成が行われないことや、血流が遮断されやすいため、骨癒合が非常に悪く、大腿骨頭壊死を起こしやすい部位として知られる。",1
685,A05-085,"あん摩マッサージ指圧師",5,"臨床医学各論","運動器疾患","脊椎骨粗しょう症に関連して誤っている記述はどれか。",,"[""腰痛の原因となる。"", ""骨塩量が減少する。"", ""脊椎圧迫骨折が起こりやすい。"", ""閉経後に進行が遅くなる。""]","解答　４．","骨粗鬆症は閉経後の女性に多く、エストロゲンの減少により骨吸収が促進されるため、閉経後に進行が加速する。骨塩量の減少により脊椎圧迫骨折を来し、腰痛や円背の原因となる。",1
